                   #time                  radius                porosity               viscosity
  4.350000000000000E+001  3.751676645128885E-004  9.567454691662773E-001  1.741611494759821E+000
  4.400000000000000E+001  3.757108262401815E-004  9.569247269743493E-001  1.881512679649015E+000
  4.450000000000000E+001  3.762181774797692E-004  9.570912927637196E-001  2.041043378244036E+000
  4.500000000000000E+001  3.766925023008218E-004  9.572462572804947E-001  2.223059569494744E+000
  4.550000000000000E+001  3.771364028328341E-004  9.573906218089884E-001  2.430894441005244E+000
  4.600000000000000E+001  3.775522918378057E-004  9.575253003976383E-001  2.668442523183228E+000
  4.650000000000000E+001  3.779423903775119E-004  9.576511231763118E-001  2.940259740034063E+000
  4.700000000000000E+001  3.783087302558699E-004  9.577688406860195E-001  3.251682653025000E+000
  4.750000000000000E+001  3.786531604041259E-004  9.578791289851781E-001  3.608970812662953E+000
  4.800000000000000E+001  3.789773537144768E-004  9.579825944563397E-001  4.019477016100296E+000
  4.850000000000000E+001  3.792828218067485E-004  9.580797807501814E-001  4.491851346633407E+000
  4.900000000000000E+001  3.795709259070836E-004  9.581711741259522E-001  5.036285680407704E+000
  4.950000000000000E+001  3.798428880644520E-004  9.582572086016249E-001  5.664810207901510E+000
  5.000000000000000E+001  3.800998078952945E-004  9.583382725900598E-001  6.391648052798807E+000
  5.050000000000000E+001  3.803426744686767E-004  9.584147137630604E-001  7.233647021512295E+000
  5.100000000000000E+001  3.805723785623105E-004  9.584868438441774E-001  8.210801272279554E+000
  5.150000000000000E+001  3.807897260632815E-004  9.585549435972768E-001  9.346888263767594E+000
  5.200000000000000E+001  3.809954475203610E-004  9.586192664691568E-001  1.067024442260679E+001
  5.250000000000000E+001  3.811902086573912E-004  9.586800424222314E-001  1.221471489087800E+001
  5.300000000000000E+001  3.813746188753683E-004  9.587374810434356E-001  1.402082088041310E+001
  5.350000000000000E+001  3.815492389778866E-004  9.587917743339663E-001  1.613719830752944E+001
  5.400000000000000E+001  3.817145877515013E-004  9.588430990788009E-001  1.862237813384300E+001
  5.450000000000000E+001  3.818711474679701E-004  9.588916188292231E-001  2.154699959148757E+001
  5.500000000000000E+001  3.820193686810620E-004  9.589374856239434E-001  2.499657139120262E+001
  5.550000000000000E+001  3.821596741963762E-004  9.589808414189056E-001  2.907493401877453E+001
  5.600000000000000E+001  3.822924623720616E-004  9.590218192813226E-001  3.390862127622476E+001
  5.650000000000000E+001  3.824181097602807E-004  9.590605443563597E-001  3.965238496496780E+001
  5.700000000000000E+001  3.825369732970280E-004  9.590971346748927E-001  4.649623143063260E+001
  5.750000000000000E+001  3.826493921274064E-004  9.591317018324863E-001  5.467443552536955E+001
  5.800000000000000E+001  3.827556890496360E-004  9.591643515371476E-001  6.447716353811438E+001
  5.850000000000000E+001  3.828561716906596E-004  9.591951840628226E-001  7.626556311971876E+001
  5.900000000000000E+001  3.829511334915708E-004  9.592242946343844E-001  9.049149444106824E+001
  5.950000000000000E+001  3.830408545056145E-004  9.592517737463518E-001  1.077235367272115E+002
