46.27	306.1634572002
59.89	308.3698740444
72.48	311.2041107908
88.20	314.6683606968
99.73	316.5594968041
109.18	320.6488250407
114.44	324.7359600201
120.75	328.5094592054
126.01	333.5391465096
132.33	339.8261185612
138.66	347.369827046
144.99	355.2277196391
149.22	362.4561473869
156.59	368.4294836446
162.90	373.7739033714
169.21	377.2332184484
175.51	381.0067176338
190.22	388.2406285249
201.76	392.6452374984
214.35	396.736210678
225.88	399.2557150019
235.32	401.4599385888
246.86	404.2936270209
261.52	405.5580398546
288.77	408.3999530016
324.38	410.6178844467
356.84	410.949066299
379.89	411.903681539
389.31	412.2228004763
413.39	411.6070434892
439.57	410.9923831307
460.50	410.0607970924
478.30	409.4417502193
505.52	408.1992699586
537.97	406.6453471613
568.32	404.776143627
597.64	403.2205758867
